Harga,title,Kecamatan,Kota,lat,long,Tipe Properti,K. Tidur,K. Mandi,Luas Tanah,Luas Bangunan,Carport,Listrik,K. Tidur Pembantu,K. Mandi Pembantu,Lantai,Kondisi,Garasi,furnishing,TahunRumah,kategori_harga
1300000000.0,Rumah Moderen Strategis Dekat Tol Supermarket,Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,3.0,84.0,105.0,0.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga rendah
425000000.0,"di Perumahan Harvest City Cluster Orchid, Bekasi",Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,90.0,65.0,0.0,2200.0,0.0,0.0,1.0,sudah renovasi,0.0,unfurnished,11.0,harga sangat rendah
280000000.0,Rumah Baru Minimalis Modern Strategis,Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,70.0,40.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,semi furnished,0.0,harga sangat rendah
999000000.0,Rumah 2 Lantai Luas Modern,Bekasi, Bekasi,-6.2849775,106.970127,rumah,6.0,2.0,127.0,190.0,1.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,1.0,harga rendah
5750000000.0,Rumah Kemang Pratama Ada Kolam Renang Pribadi W,Bekasi, Bekasi,-6.2849775,106.970127,rumah,5.0,4.0,400.0,398.0,2.0,6600.0,1.0,2.0,2.0,baru,1.0,unfurnished,7.0,harga sangat tinggi
1500000000.0,Rumah 2 Lantai Bagus Murah Di Jatikramat,Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,2.0,100.0,136.0,1.0,1300.0,1.0,1.0,2.0,bagus,1.0,semi furnished,0.0,harga tinggi
6800000000.0,Di Jual Rumah Mewah 4 Lantai Di Jatiasih,Bekasi, Bekasi,-6.2849775,106.970127,rumah,8.0,9.0,700.0,1400.0,2.0,7700.0,2.0,2.0,4.0,bagus,2.0,semi furnished,11.0,harga sangat tinggi
3000000000.0,"Rumah di Rawalambu,bekasi SHM Bagus",Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,5.0,250.0,400.0,1.0,3300.0,0.0,0.0,1.0,bagus,1.0,unfurnished,2.0,harga tinggi
168000000.0,"Rumah Design Minimalis Murah , Dekat Sumarecon Bekasi",Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,60.0,19.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,unfurnished,0.0,harga sangat rendah
870000000.0,Rumah 2 Lantai Baru di Bekasi Timur Regensi 2,Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,1.0,90.0,80.0,1.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga rendah
495000000.0,Rumah sangat murah di Bekasi dekat stasiun,Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,86.0,45.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,unfurnished,0.0,harga sangat rendah
275000000.0,Rumah praktis ekonomis dah dirilis biar laris,Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,60.0,36.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,semi furnished,0.0,harga sangat rendah
300000000.0,Rumah Modern Classik Berkwalitas,Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,2.0,70.0,70.0,1.0,1300.0,0.0,0.0,1.0,bagus,1.0,semi furnished,1.0,harga sangat rendah
1440000000.0,Rumah 2 lantai di Pusat Kota,Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,2.0,55.0,60.0,1.0,2200.0,1.0,0.0,2.0,baru,0.0,semi furnished,0.0,harga rendah
764000000.0,Gracia Ayu Rumah 2 Lantai 3 Kamar Tidur Strategis 2 Menit Stasiun Cibitung,Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,3.0,78.0,83.0,1.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga sangat rendah
1200000000.0,Dijual Rumah 2lantai bisa Kpr di bekasi kota perumnas 3,Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,2.0,120.0,90.0,2.0,2200.0,0.0,0.0,2.0,baru,0.0,furnished,1.0,harga rendah
764000000.0,Gracia Ayu Rumah 2 Lantai 3 Kamar Tidur Strategis 8 Menit Tol Cibitung,Bekasi, Bekasi,-6.2849775,106.970127,rumah,3.0,3.0,78.0,83.0,2.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,harga sangat rendah
495000000.0,Rumah sudah SHM Baru siap huni termurah di Bekasi,Bekasi, Bekasi,-6.2849775,106.970127,rumah,2.0,1.0,86.0,45.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,semi furnished,0.0,harga sangat rendah
1500000000.0,Rumah 2 Lantai sudah SHM termurah di Bekasi,Bekasi, Bekasi,-6.2849775,106.970127,rumah,4.0,3.0,100.0,136.0,2.0,2200.0,1.0,1.0,2.0,baru,2.0,semi furnished,0.0,harga tinggi
300000000.0,Rumah exclusive fasilitas smart home,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,60.0,36.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,unfurnished,0.0,harga sangat rendah
365000000.0,Bumi Pandawa Sejahtera Bekasi,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,60.0,36.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,unfurnished,0.0,harga sangat rendah
